ID,Fabric Type,Historical Demand,Current Demand,Future Demand,Price per Unit,Unit Type, Season, Occasion, Budget Category
1,Cotton,120,150,180,250,Rolls, Summer, Casual, Low
2,Polyester,160,175,190,180,Rolls, All-Season, Casual, Low
3,Silk,80,85,100,500,Meters, Winter, Ethnic, High
4,Linen,50,70,90,350,Meters, Summer, Formal, Medium
5,Wool,110,125,140,400,Kilograms, Winter, Formal, Medium
6,Denim,190,200,210,300,Rolls, All-Season, Casual, Medium
7,Rayon,85,95,105,280,Rolls, Summer, Casual, Low
8,Velvet,75,80,95,550,Kilograms, Winter, Ethnic, High
9,Chiffon,130,160,175,200,Meters, Summer, Ethnic, High
10,Satin,125,140,160,450,Meters, All-Season, Formal, High
11,Hemp,140,150,165,270,Rolls, Summer, Casual, Medium
12,Jute,100,110,125,190,Kilograms, Summer, Casual, Low
13,Ramie,90,100,115,520,Meters, Summer, Casual, Medium
14,Bamboo Fabric,65,80,95,360,Meters, Summer, Casual, Medium
15,Modal,105,115,130,390,Meters, Summer, Formal, Medium
16,Tencel,170,180,200,310,Meters, Summer, Casual, Medium
17,Cashmere,75,85,100,550,Kilograms, Winter, Formal, High
18,Mohair,85,90,105,540,Kilograms, Winter, Formal, High
19,Alpaca,140,150,170,210,Kilograms, Winter, Casual, High
20,Angora,125,130,145,460,Kilograms, Winter, Casual, High
21,Lace,95,110,125,400,Meters, Summer, Ethnic, High
22,Organza,80,90,105,370,Meters, Summer, Ethnic, High
23,Tweed,150,165,185,420,Meters, Winter, Formal, High
24,Gabardine,130,145,160,380,Meters, Winter, Formal, Medium
25,Georgette,100,115,130,450,Meters, Summer, Ethnic, High
26,Taffeta,85,95,110,410,Meters, All-Season, Formal, High
27,Canvas,120,135,150,340,Meters, All-Season, Casual, Low
28,Tulle,160,175,195,300,Meters, Summer, Ethnic, High
29,Muslin,140,155,175,270,Meters, Summer, Casual, Low
30,Chambray,110,125,140,460,Meters, Summer, Casual, Medium
31,Voile,75,90,105,320,Meters, Summer, Casual, Low
32,Seersucker,95,110,130,350,Meters, Summer, Casual, Medium
33,Tartan,180,195,210,490,Meters, Winter, Casual, Medium
34,Brocade,140,155,170,510,Meters, Winter, Ethnic, High
35,Crepe,85,100,115,330,Meters, All-Season, Formal, High
36,Flannel,150,165,185,440,Meters, Winter, Casual, Medium
37,Fleece,130,145,160,370,Meters, Winter, Casual, Medium
38,Microfiber,105,120,140,490,Meters, All-Season, Sportswear, Medium
39,Gauze,95,110,130,310,Meters, Summer, Casual, Low
40,Spandex,120,135,150,350,Meters, All-Season, Sportswear, Medium
